id,text,发布时间,labels,like_count,favorite_count,comment_count,share_count,tags
7435107085647465787,实名举报 #上热门🔥 #维护权益 #媒体爆光 #抖音小助手dou上热门 朋友們我是前委員是無錫市連錫區廣業街道的居民這是我的身份證由連錫區法院判斷2015從管民出自0706、0732、0733三個案子中由在本月6日條約單案時法院工作人員說其中有罪疑案審理的監控和三次調查我母親的視頻我依法確認我母親沒有為了財產來告我是三個所謂的代理人和三案同業和一庭法官導致的在審和檢察官都做了一審官員的保護傘我向審委巡視組的申請人報告申訴材料中有詳細說明現在請朋友們為我轉發為我曝光為我主持公道還我清白再次謝謝朋友的關心和支持 ,2024-11-09,Y,94,21,6,48,"['上热门', '维护权益', '媒体爆光', '抖音小助手dou上热门']"
7423601474279591183,  我的昵称国务院“互联网+督查”留言须知1.国务院“互联网+督查”平台旨在面向社会征集以下四个方面问题线索或意见建议：一是党中央、国务院有关重大决策部署和政策措施不落实或落实不到位的问题线索；二是政府及其有关部门、单位不作为慢作为乱作为的问题线索；三是因政策措施不协调不配套不完善给经营主体和人民群众带来困扰的问题线索：四是改进政府工作的意见建议。企业和群众可以通过本平台围绕上述范围提供线索、反映问题、提出建议。2.为了你反映的问题能够得到及时有效处理请你填写个人真实信息，如实反映有关情况，并对其真实性负责。我们将严格控制个人信息知悉范围。如你在有关选项中选择保密个人信息，你百晓莉买名举报孝义人大下次不再显示1202111120211112021111202111,2024-10-09,Y,94,21,6,48,
7218147337540078852,  合肥刑事律师谈是公举报的成本和危害合肥刑事律师谈是公举报的成本和危害合肥刑事律师谈是公举报的成本和危害合肥刑事律师谈是公举报的成本和危害,2023-04-04,Y,94,21,6,48,
7436359898679479611,"#我实名曝光 #维护权益 #百姓维权难 我实名举报 本人张艳玉 女 1949年10月23日出生住上海市敏航区浦景街道浦秀路我实名曝光无一上海市敏航区浦江镇人民政府信访办主任孙宏斌 男系上海市敏航区浦景街道办事处主任周觉 女系上海市敏航区浦景街道规划和自然资源管理所所长袁晨 上海市敏航区人民法院执行庭当时我的公共婆婆从上海退休回来来没地方住是我出资为公共婆婆建造的农村个人住房建设工程许可证是张玉宝的名字我的小名与我张艳玉同一人由无一为首帮派分子偷偷地把我的农村个人住房建设工程许可证并在郑翔宝的土地使用证上造成了从普井街道农民相对集中居住安置项目至今几年内官司缠身而且一审败诉并在上诉过程中发生交通事故损失巨大强力要求我农村个人住房建设工程许可证恢复原样归还给我赔偿一切损失律师费司法鉴定费 诉讼费等一切费用我分别于2023年10月7日到10月29日把关于吴依违法犯罪问题的举报材料寄给相关组织领导在各级组织领导未把调查处理结果书面告知举报人之前原上海市闽航区浦江镇人民政府信访办主任的帮派分子继续违法犯罪而于2023年11月1. 作出民谱信告2023-103号告知书下称103号告知书企图恶搞报复我103号告知书既无事实根据又无法律依据地捏造事实称宗煞根据《信访工作条例》的相关规定对于您以同一事实和理由再次提出的同一诉求本机关不再重复告知请问制作103号告知书的作者我在什么时间就同一事实与理由再次提出同一诉求同一诉求我在2023年从来没有向上海市敏航区浦江镇人民政府信访办写信反映过要求更正《宅基地使用证赋业印章》倒盖之信访事项简言之无意帮派分子103号告知书的作者犯了捏造事实无中生有的恶搞报复我以及恶意打击报复我的违法犯罪一旦权力落入黑恶帮派分子手中其后果往往是灾难性的没有清官告状难恶人被杀最后有靠山到东到西捞钞票吃好饭地方黑暗高山黄帝远看不到侵权赔偿 违法追究 立法未公 执法未明2024年6月25日上午我去普锦街道规划和自然资源管理所周觉的办公室我拿着上海市敏航区人民法院协助执行通知书 指给他看补偿款人民币629160.00元冻结期限为三年自2022年6月15日至2月1日2025年6月14日指冻结期间你单位不得向被申请人清偿你有什么权利把补偿款还给上海市敏航区人民法院周觉说不是我还给上海市敏航区人民法院的是孙宏斌还给上海市敏航区人民法院的我问他孙宏斌怎么写做什么的他把孙宏斌的这三个字写在协助执行通知书上他说孙宏斌是普景街道办事处主任足以证实孙宏斌孙宏斌和周觉是一丘之貉其狼子野心 路人皆知相互勾结把我们控告人的农民相对集中居住项目补偿费人民币录是29,100元划拔汇至孙宏斌、周觉你们侵害我们合法权益我实属无奈才将此事曝光希望上级领导看到此视频之后可以严查此事依法治国 依德治国权为民所用 利为民所谋行为民所系 有权亦有责侵权要赔偿 违法要追究经济债要赔偿和补偿去还法律债要用公平和正义去还 ",2024-11-12,Y,13,3,1,8,"['我实名曝光', '维护权益', '百姓维权难']"
7436342390744550667,退伍老兵实名举报，有正义感的朋友请转发点赞评论，给40年老兵一个支持 这伙人太嚣张霸道了本人赵万里是一名退伍老兵我第三个字号号码是2107-111-961-0402-5418我实名举报许基电器股份有限公司在承包华润电力康平风电站增压站的项目中不履行合同要求不行使监管义务违法分包 成城转包许基电器股份有限公司将工程项目违法分包给刘晓文寻找的湖南华站电力监测有限公司 刘晓文又将其中的土建工程通过蒙骗的手段呈包给我许迪电器股份有限公司在施工过程中监管不力 对违法分包视而不见更有甚者其项目经理刘宝江还主导刘晓文与我方合同的签订等事宜充当他们的利益合作者与保护商现场所有工程都是刘宝江替湖南华产指挥我们施工的施工过程中 取缔电器拨款工程进度款1500多万其中刘晓文只拨付给我方500多万元剩余的工程款一直没有拨付给我方为保证工程进度 我方不断的电制300多万元但最终由于资金缺口巨大 导致工程无法正常实施本期视频就分享到这里 欢迎订阅我的频道現在近一千億萬元沽成款流向不明但劉曉文卻就以我們交際代工為由強行要求我們吃清空撤廠在不給我們核對沽成量不予提證的情況下糾集社會閑閒人員強行暴力驅趕我們出廠吃果方人員受傷不軟害得我巨額投資血本無歸無力之後工友們的工資和我們的生活以上是我掌握的真实情况为一名老兵实现了党令的三分保证我所举报的内容绝对属实愿意接受法律的惩罚我想通过我的举报引起有关部门的重视不仅为我自己为工友们讨回应有的利益也想为规避同类的问题出现在其他的工作上进一点提示的力量同时让不法分子得到应有的处罚不能讓國有資產受到傷害和流失有關具體情況和證據我願在適當的情況下向有關部門提供感謝大家多多轉發為正義發聲舉報人趙萬里2024年11月 ,2024-11-12,Y,143,2,19,4,
7203308742811651383," 我叫明平福,身份证号4201231969020841317,高达建设有限公司青海分公司负责人。今天我实名举报青海省海东市的国企青海合黄农业投资有限公司在海东市政府的直接领导下不作为,滥作为,受传给民营空壳公司,让民营空壳公司如我们天地施工建设承包合同,在项目完工以后再进行投资。再把民营空壳公司强行赶出园区并将其起诉到法院让民营空壳公司成为背锅侠承担支付全部工程款的责任荷黄公司的金蚕脱壳之欺骗行为导致我分公司在国有农业园区电子施工维修的400多万元工程款至今三年来拿不到一分钱我个人面临倾家荡产家破人亡的局面现已成为严重磁性人我们一起在园区的17家施工单位多次上访到政府部门都是踢皮球起诉到法院又遇到拦路虎导致官司打不赢合黄公司不花一分钱就拥有了我们17家施工单位在园区里施工形成的上亿元固定资产本人实在出入无赖只好在网络上实名只希望能引起国家相关部门的关注敬请相关新闻媒体能介入监督青海省的司法公正能公平公正地依法解决我们的问题违法 [含实名信息]",2023-02-23,Y,148,47,85,59,
7367708316820081955,  实名举报深圳市盐田区人民法院审判长歌倩田区审(一)本人实名举报实名举报深圳市盐田区人民法院审判长歌倩田区审(一)本人实名举报,2024-05-11,Y,302,19,21,69,
7436236768233540874,"请广东省汕头市潮阳区人大常委会主任马文玲主任重视 實名舉報,廣東省上頭市朝陽區人民法院彭對成案件主審法官林子平懇請廣東省上頭市朝陽區人大常委會主任馬榮林主任依法介入立案監察林子平的違法我是彭德武,是廣東省上頭市朝陽區桂雨鎮鄉同村的村民現在是2024年10月11月11號彭斗武今天在抖音媒體平台向馬文林主任以及全國老百姓實名舉報林子平在辦理彭帥村案件存在的違法同時闡述非法轉讓土地使用權罪的違法事項認定查明彭帥村賣商住樓賺的3200多萬是非法才可以定彭帥娼非法轉帳土地使用權罪那麼定了非法轉帳土地使用權罪又不對該筆非法牟利追繳沒收上繳國庫這裡面就是程序嚴重的違法依法應該追究林子平的法律責任那麼本應該追繳的非法牟利屬於國有資產那麼林子平沒有依法追繳這個就是導致國有資產流失應該追究林子平的法律責任追究主審法官林子平的違法行為第二點彭瑞昌賣商住樓建商住樓非法牟利三千兩百多萬瓦格刑法第225條法條規定非法經營罪彭瑞昌具備有非法經營罪的全部立案構建他沒有房地產的開發權沒有下高收房地產的開發權那麼他以牟利為目的去建商住樓、賣商住樓這就是非法經營罪的典型案例那麼案件到了法院彭德武連續多次通過書面舉報材料以及證據證明寄給林子平告訴他這個案件存在程序嚴重違法同時也存在遺漏罪請求他依法查處。實名舉報信以及證據證明材料同時也寄給了朝陽區人民法院負責刑庭的副院長廖喜生院長以及朝陽區人民法院正院長楊應峰院長同時也寄給了上頭市中級人民法院萬盈峰院長那麼所有的舉報以及證據證明材料都是轉到竹繩法官林子平這裡但是他對彭德武的所有舉報,拒不回覆,置之不理。也就是說,不管你怎麼舉報,我就是不回覆你。這個已經違反了《信訪工作條例》法律法規,依據《刑事法》相關規定,應該依法追究林子平的法律責任。同時,彭德武指控彭正傳案件存在違法問題,林子平沒有採取任何法定措施以及救濟途徑,那麼他涉嫌到違法。刑法第310條包庇罪包庇彭罪稱的犯罪請求馬文林主任依據人大常委會相關的權限請求你依法介入該案件聯合紀委監委以及政法委等有權部門依法對林子平立案監察追究他應有的法律責任維護朝陽區法律公正維護國家法律公正同時請求你履行職責一官一任應該要照顧一方百姓恃罪惡如極仇請求尊敬的馬雲林主任請你履行職責依法介入案件 ",2024-11-12,Y,874,50,103,51,
7256700570688392460,退伍军人实名举报村书记#实名举报 #扫黑除恶#反腐倡廉 我是辽宁省海城市中小镇大台村退役军人王世奇我实名举报辽宁省海城市大台村村支部书记安全良我对建筑村委会承包亲属的事情提出疑问我想告知一下广大网友及村民在2013年建筑村委会为什么承包人是他的亲属刘炳发走那种合法程序有没有承包资格又经过谁的同意为什么刘炳发刘伟曼又转包给大市村马某某安原良为什么不直接和马某某签合这里有什么见不得人的事儿在我昨天爆料以后你的亲属刘伟曼的老婆在公共场合我不在场的情况下对我辱骂 侮辱老话说 祸不及家人你还恬不知耻当街辱骂我时连带我母亲如果你不服认为我说的不是事实你为什么不去公安机关控告我我这没说的大家应该都看明白了事实的真相说出来我就不怕你们打击报复 ,2023-07-17,Y,133,7,8,33,"['实名举报', '扫黑除恶', '反腐倡廉']"
7436739494348442918,@小政视频 @澎湃新闻 @维度新闻 @大象新闻 @红星新闻 我是黑龍江省佳木斯市中心院護士李焱我實名舉報佳木斯市委計委佳木斯市人社局佳木斯市信訪普查組和辦公室針對於2019年至今本人的多個信訪文件不作為其中某些文件造假一事實名舉報我們這幾家相關單位這幾年是怎麼做的呢2019年6月3日佳木斯市中心院信訪文件造假2019年7月5日佳木斯市委計委信訪文件造假2022年3月8月本人在信訪網站投訴中心醫院違紀違規入編一事佳姆斯市違紀委在沒有辦理告知的情況下私自上傳答非所問我投訴的是違紀上傳的處理結果是公積金問題解決2023年12月20日佳姆斯市違紀委答覆意見答非所問本人的信訪投訴指出是5家單位違紀委只回答1家答覆意見上的第二點上胡編亂造指出2021年3月8月在國家信訪網站在法院法案上三次投诉违规禁编问题中中心院给予及时回复你们的回复在哪里 我什么时间看到了检编的人员只给数量不给名单信访答复意见不予符合2024年4月8日佳木斯市人社局信访件为国家都办件依旧出具不合理意见书2024年5月15日佳木斯市信访普查符合办公室对人社信访答复意见国家都办件不予不予普查符合你仔细看我的普查书了吗2017年出的普查意见书省一级信访部门都驳回了你还用信访条例的第36条制约我不受理这本信访条例书和这本中国监察法条例我相信我熟读的程度不低于专业信访工作人员姜姆斯市几家自成一体的单位真让人佩服9月24日我们尊敬的省委书记许晓明在省信訪接待來訪群眾中強調指出推進信訪工作法制化用心用情維護群眾合法權益嚴格執行信訪條例推動預防受理、辦理、監督、追責維護秩序五個法制化責任追究三同步困難幫扶三到位嚴格落實黨政同責一綱雙得請省一級部門、監察部門徹查此事 ,2024-11-14,Y,11,0,4,0,
